context,description,type,placeholders,en,de,es,fr,it,ja,ko,pl,pt,ru,th,tr,uk,zh,nl
appTitle,The title of the application,text,,Timberborn stats viewer,Timberborn-Statistik-Viewer,Visor de estadísticas de Timberborn,Visionneuse de statistiques Timberborn,Visualizzatore delle statistiche di Timberborn,ティンバーボーン統計ビューア,팀버본 통계 뷰어,Przeglądarka statystyk Timberborn,Visualizador de estatísticas do Timberborn,Просмотрщик статистики Timberborn,โปรแกรมดูสถิติของ Timberborn,Timberborn istatistik görüntüleyici,Переглядач статистики Timberborn,廷伯伯恩统计查看器,Timberborn-statistiekenviewer
selectFile,,text,,Select a .timber file,Wählen Sie eine .timber-Datei aus,Seleccione un archivo .timber,Sélectionnez un fichier .timber,Seleziona un file .timber,.timber ファイルを選択します,.timber 파일을 선택하세요,Wybierz plik .timber,Selecione um arquivo .timber,Выберите файл .timber,เลือกไฟล์ .timber,Bir .timber dosyası seçin,Виберіть файл .timber,选择 .timber 文件,Selecteer een .timber-bestand
details,,text,,Details,Einzelheiten,Detalles,Détails,Dettagli,詳細,세부,Detale,Detalhes,Подробности,รายละเอียด,Detaylar,Подробиці,细节,Details
timestamp,,text,,Timestamp,Zeitstempel,Marca de tiempo,Horodatage,Timestamp,タイムスタンプ,타임스탬프,Znak czasu,Carimbo de data e hora,Временная метка,การประทับเวลา,Zaman damgası,Мітка часу,时间戳,Tijdstempel
cycle,,text,,Cycle,Zyklus,Ciclo,Faire du vélo,Ciclo,サイクル,주기,Cykl,Ciclo,Цикл,วงจร,Döngü,Цикл,循环,Cyclus
cycleDay,,text,,Day,Tag,Día,Jour,Giorno,日,낮,Dzień,Dia,День,วัน,Gün,День,天,Dag
gameVersion,The version of the game,text,,Game version,Spielversion,Versión del juego,Version du jeu,Versione del gioco,ゲームバージョン,게임 버전,Wersja gry,Versão do jogo,Версия игры,เวอร์ชันเกม,Oyun sürümü,Ігрова версія,游戏版本,Spelversie
mapSize,The width of the map,text,,Map size,Kartengröße,Tamaño de mapa,Taille de la carte,Dimensioni della mappa,マップサイズ,지도 크기,Rozmiar mapy,Tamanho do mapa,Размер карты,ขนาดแผนที่,Harita boyutu,Розмір карти,地图尺寸,Kaart grootte
faction,,text,,Faction,Fraktion,Facción,Faction,Fazione,派,파벌,Odłam,Facção,Фракция,ฝ่าย,Hizip,Фракція,派,Factie
mapName,The name of the map,text,,Map name,Kartenname,Nombre del mapa,Nom de la carte,Nome della mappa,マップ名,지도 이름,Nazwa mapy,Nome do mapa,Название карты,ชื่อแผนที่,Harita adı,Назва карти,地图名称,Naam van de kaart
